idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2023-07-31/2023-08-06,28.6,14.9,28.8,27.7,148.7
5707,2023-08-07/2023-08-13,31.5,14.0,0.2,22.3,170.6
5707,2023-08-14/2023-08-20,34.1,19.4,11.2,20.2,166.5
5707,2023-08-21/2023-08-27,35.0,17.9,48.3,20.2,221.4
5707,2023-08-28/2023-09-03,25.3,13.6,100.9,29.2,133.8
5707,2023-09-04/2023-09-10,28.4,14.5,0.0,11.6,193.8
5707,2023-09-11/2023-09-17,28.5,15.8,55.5,16.3,186.7
5707,2023-09-18/2023-09-24,25.6,12.0,101.8,28.5,102.5
5707,2023-09-25/2023-10-01,25.3,11.0,0.0,10.0,176.0
5707,2023-10-02/2023-10-08,26.8,12.0,0.9,12.6,157.8
5707,2023-10-09/2023-10-15,26.8,13.1,0.0,24.3,120.3
5707,2023-10-16/2023-10-22,17.1,7.3,0.8,16.1,82.1
5707,2023-10-30/2023-11-05,14.4,3.3,36.3,21.0,64.0
5707,2023-11-06/2023-11-12,14.9,2.0,11.5,13.8,69.1
5707,2023-11-13/2023-11-19,18.2,1.7,0.7999999999999999,26.2,78.1
5707,2023-11-20/2023-11-26,13.8,-0.5,0.9,41.8,80.6
5707,2023-11-27/2023-12-03,10.6,-0.9,44.7,34.4,74.4
5707,2023-12-04/2023-12-10,10.7,-2.9,7.6,12.8,42.8
5707,2023-12-11/2023-12-17,14.1,-2.5,3.1,23.4,81.4
5707,2023-12-18/2023-12-24,17.2,-2.7,0.0,21.6,79.2
5707,2023-12-25/2023-12-31,12.0,1.3,8.299999999999999,10.8,64.0
5707,2024-01-01/2024-01-07,11.5,-0.8,37.2,18.2,60.1
5707,2024-01-08/2024-01-14,8.7,-4.0,0.30000000000000004,14.7,52.0
5707,2024-01-15/2024-01-21,9.4,-6.7,10.6,27.9,84.8
5707,2024-01-22/2024-01-28,15.6,-6.4,0.0,15.0,54.8
5707,2024-01-29/2024-02-04,14.2,-3.1,0.0,11.9,53.3
5707,2024-02-05/2024-02-11,14.4,2.2,62.3,18.7,67.7
5707,2024-02-12/2024-02-18,15.2,1.7,0.0,11.6,91.0
5707,2024-02-19/2024-02-25,17.4,2.0,67.7,16.3,86.2
5707,2024-02-26/2024-03-03,15.7,4.6,152.0,24.1,59.6
5707,2024-03-04/2024-03-10,13.9,1.3,97.1,29.3,73.6
5707,2024-03-11/2024-03-17,18.4,3.3,6.1000000000000005,17.1,102.3
5707,2024-03-18/2024-03-24,19.3,5.0,4.4,22.5,107.1
5707,2024-03-25/2024-03-31,16.5,3.9,72.4,26.9,85.6
5707,2024-04-01/2024-04-07,22.3,4.5,18.599999999999998,30.9,102.0
5707,2024-04-08/2024-04-14,26.2,7.3,23.5,37.5,137.1
5707,2024-04-15/2024-04-21,21.8,3.6,0.7999999999999999,39.6,123.8
5707,2024-04-22/2024-04-28,15.2,1.7,40.7,18.8,102.3
5707,2024-04-29/2024-05-05,22.9,8.8,58.599999999999994,21.7,113.9
5707,2024-05-06/2024-05-12,25.0,9.7,24.4,14.4,141.9
5707,2024-05-13/2024-05-19,22.0,8.3,69.6,14.5,127.7
5707,2024-05-20/2024-05-26,23.8,9.0,53.900000000000006,15.1,112.6
5707,2024-05-27/2024-06-02,23.6,10.4,42.3,14.6,130.2
5707,2024-06-03/2024-06-09,25.9,12.9,19.9,12.0,116.1
